Garment Name:,Eylet with sheer long sleeves blk,,Retailer:,Banana Republic,,Style #,932102-00-1,,,Date:,31-Oct,,,,,,,,,,,,Size 00,,,,,,,,Size 0,,,,,,,,Size 2,,,,,,,,Size 4,,,,,,,,Size 6,,,,,,,,Size 8,,,,,,,,Size 10,,,,,,,,Size 12,,,,,,,,Size 14,,,,,,,,Size 16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,,XS,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,S,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,M,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,L,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,XL,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High
,,,,,,,,,,,,,,,,,,Ultra Low Rise,Ultra Low Rise,Ultra Low Rise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woven straight grain,woven w/ stretch fibers,woven bias grain,knit 2 way,knit 4 way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0% stretch,% stretch,% stretch,% stretch,% stretch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Light weight sheer,Light weight silky,Light weight woven,Light weight knit,Light weight knit,Mid weight woven,Mid weight knit,Heavy weight woven,Heavy weight knit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Shoulder pads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Boning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Underwire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Shelf bra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoulder pads,,,,,,,,,,,Adjustable waist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structural Features,Boning,,,,,,,,,,,Adjustable straps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Underwire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shelf bra,,,,,,,,,,,Cuffed hem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adjustable waist,,,,,,,,,,,Cuffed sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adjustable straps,,,,,,,,,,,Peplum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Belted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuffed hem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Styling details,Cuffed sleeve,,,,,,,,,,,Stretch - skin tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peplum,,,,,,,,,,,Stretch - close fitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belted,,,,,,,,,,,Stretch - tailored fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Stretch - princess fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stretch - skin tight,,,,,,,,,,,Stretch - close draped fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fit Type,Stretch - close fitting,,,,,,,,,,,Stretch - loose draped fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stretch - tailored fit,,,,,,,,,,,Stretch - formal structured fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stretch - princess fitted,,,,,,,,,,,Woven - princess fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stretch - close draped fit,,,,,,,,,,,Woven - tailored fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stretch - loose draped fit,,,,,,,,,,,Woven - loose tailored fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stretch - formal structured fit,,,,,,,,,,,Woven - boxy fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woven - princess fitted,,,,,,,,,,,Woven -relaxed/loose Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woven - tailored fit,,,,,,,,,,,Woven - draped close fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woven - loose tailored fit,,,,,,,,,,,Woven - loose draped fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woven - boxy fit,,,,,,,,,,,Woven - formal structured fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woven -relaxed/loose Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woven - draped close fit,,,,,,,,,,,1st layer - worn next to skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woven - loose draped fit,,,,,,,,,,,2nd layer - worn over close fitting items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woven - formal structured fit,,,,,,,,,,,3rd layer - worn over loose fitting items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4th layer - outerwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1st layer - worn next to skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layering,2nd layer - worn over close fitting items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3rd layer - worn over loose fitting items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4th layer - outerwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bust,Waist,Hip,Neck,Thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Fit Priority*,"*assort order using 1-10 scale or percentages, drop any points that are not related. Note, Using a 1 - 10 scale or percentages we can decrease the importance of a waist fit on mid-ride rise pants or the decrease the fit of the waist on a dress that is fitted in the bust.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

