Garment Name:,Eylet with sheer long sleeves blk,,Retailer:,Banana Republic,,Style #,932102-00-1,,,Date:,31-Oct,,,,,,,,,,,,Size 00,,,,,,,,Size 0,,,,,,,,Size 2,,,,,,,,Size 4,,,,,,,,Size 6,,,,,,,,Size 8,,,,,,,,Size 10,,,,,,,,Size 12,,,,,,,,Size 14,,,,,,,,Size 16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,,XS,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,S,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,M,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,L,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,XL,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High
Fabric weight,Light weight woven,,Structural Details,,,Styling details,,,,,,,,,,Technical,,,,Flared,,Vest,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,,Thigh,,0%,0,,,,
,,,,,,,,,,,,,,,,Denim Jacket,,,,Full with shaping layers,,Down,Shoulder across front,,0%,0,,,,,Shoulder across front,13.5,0%,13.5,14.25,14.125,14,,Shoulder across front,14,0%,14,14.75,14.625,14.5,,Shoulder across front,16,0%,16,15.5,15.375,15.25,,Shoulder across front,16.5,14%,18.7275,15.875,15.75,15.625,,Shoulder across front,17,0%,17,16.125,16,15.875,,Shoulder across front,,0%,0,,,,,Shoulder across front,,0%,0,,,,,Shoulder across front,,0%,0,,,,,Shoulder across front,,0%,0,,,,
Fit Type,Woven - loose tailored fit,,Layering,1st layer - worn next to skin,,,,,,,,,,,,,,,,,,Ski,Shoulder across back,,0%,0,,,,,Shoulder across back,15,0%,15,14.625,14.5,14.375,,Shoulder across back,16,0%,16,15.25,15.125,15,,Shoulder across back,16.5,0%,16.5,16,15.875,15.75,,Shoulder across back,17,0%,17,16.375,16.25,16.125,,Shoulder across back,17.5,0%,17.5,16.625,16.5,16.375,,Shoulder across back,,0%,0,,,,,Shoulder across back,,0%,0,,,,,Shoulder across back,,0%,0,,,,,Shoulder across back,,0%,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,Shoulder length,,0%,0,,,,,Shoulder length,2.5,0%,2.5,5.125,5,4.875,,Shoulder length,2.5,0%,2.5,5.25,5.125,5,,Shoulder length,2.5,0%,2.5,5.5,5.375,5.25,,Shoulder length,3,0%,3,5.5,5.375,5.25,,Shoulder length,2.5,0%,2.5,5.75,5.625,5.5,,Shoulder length,,0%,0,,,,,Shoulder length,,0%,0,,,,,Shoulder length,,0%,0,,,,,Shoulder length,,0%,0,,,,
,Back Shoulder,Bust,Waist,Hip,Neck,Thigh,,,,,,Blouse,Tunic,Tee *knit,Tank *knit,Jacket,Sweater,Pant/Trouser,Pant/Jean,Skirt,Dress,Coat,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,,Tricep,,0%,0,,,,
Set Fit Priority*,30%,40%,15%,15%,0%,0%,100%,,,,,Cropped,Top of hip,Cropped,Cropped,Cropped,Cropped,Short,Short,Mini,Mini,Cropped,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,,Bicep,,0%,0,,,,
,,,,,,,,,,,,Waist,Bottom of hip,Waist,Waist,Waist,Waist,Capri,Capri,Knee length,Knee length,Waist,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,,Wrist,,0%,0,,,,
Size Range,,0,X,0,X,2,X,4,X,6,,Top of hip,Mid-thigh,Top of hip,Top of hip,Top of hip,Top of hip,Cropped,Cropped,Mid-Calf,Mid-Calf,Top of hip,Knee,,0%,0,,,,,Knee,,0%,0,,,,,Knee,,0%,0,,,,,Knee,,0%,0,,,,,Knee,,0%,0,,,,,Knee,,0%,0,,,,,Knee,,0%,0,,,,,Knee,,0%,0,,,,,Knee,,0%,0,,,,,Knee,,0%,0,,,,
*check all that apply,X,8,X,10,X,12,,14,,16,,Bottom of hip,,Bottom of hip,Bottom of hip,Bottom of hip,Bottom of hip,Ankle,Ankle,Tea length,Tea length,Bottom of hip,Calf,,0%,0,,,,,Calf,,0%,0,,,,,Calf,,0%,0,,,,,Calf,,0%,0,,,,,Calf,,0%,0,,,,,Calf,,0%,0,,,,,Calf,,0%,0,,,,,Calf,,0%,0,,,,,Calf,,0%,0,,,,,Calf,,0%,0,,,,
,,XXS,,XS,,S,,M,,L,,,,,,,,Full length,Full length,Maxi,Maxi,Knee length,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,,Ankle,,0%,0,,,,
